"combination [m, n, l1, l2, ep_max, c1, c2, c3, c4]",gBest_fitness,avg_time_per_epoch
"[15, 5, 20, 150, 10, 2.05, 2.05, 2.05, 2.05]",5.70e-21,0.42
"[15, 5, 20, 200, 10, 2.05, 2.05, 2.05, 2.05]",1.72e-27,0.53
"[15, 5, 20, 300, 10, 2.05, 2.05, 2.05, 2.05]",5.93e-40,0.69
"[15, 5, 30, 150, 10, 2.05, 2.05, 2.05, 2.05]",4.69e-23,0.52
"[15, 5, 30, 200, 10, 2.05, 2.05, 2.05, 2.05]",2.86e-29,0.63
"[15, 5, 30, 300, 10, 2.05, 2.05, 2.05, 2.05]",4.55e-50,0.74
"[15, 10, 20, 150, 10, 2.05, 2.05, 2.05, 2.05]",3.40e-28,0.5
"[15, 10, 20, 200, 10, 2.05, 2.05, 2.05, 2.05]",8.82e-36,0.57
"[15, 10, 20, 300, 10, 2.05, 2.05, 2.05, 2.05]",2.78e-41,0.87
"[15, 10, 30, 150, 10, 2.05, 2.05, 2.05, 2.05]",2.78e-26,0.54
"[15, 10, 30, 200, 10, 2.05, 2.05, 2.05, 2.05]",8.74e-34,0.57
"[15, 10, 30, 300, 10, 2.05, 2.05, 2.05, 2.05]",4.77e-45,0.75
"[20, 5, 20, 150, 10, 2.05, 2.05, 2.05, 2.05]",1.96e-28,0.53
"[20, 5, 20, 200, 10, 2.05, 2.05, 2.05, 2.05]",2.10e-28,0.78
"[20, 5, 20, 300, 10, 2.05, 2.05, 2.05, 2.05]",2.74e-49,0.85
"[20, 5, 30, 150, 10, 2.05, 2.05, 2.05, 2.05]",5.21e-28,0.47
"[20, 5, 30, 200, 10, 2.05, 2.05, 2.05, 2.05]",1.15e-32,0.66
"[20, 5, 30, 300, 10, 2.05, 2.05, 2.05, 2.05]",1.35e-49,0.84
"[20, 10, 20, 150, 10, 2.05, 2.05, 2.05, 2.05]",9.52e-35,0.67
"[20, 10, 20, 200, 10, 2.05, 2.05, 2.05, 2.05]",1.57e-38,0.73
"[20, 10, 20, 300, 10, 2.05, 2.05, 2.05, 2.05]",2.43e-52,0.93
"[20, 10, 30, 150, 10, 2.05, 2.05, 2.05, 2.05]",5.68e-30,0.63
"[20, 10, 30, 200, 10, 2.05, 2.05, 2.05, 2.05]",1.62e-33,0.75
"[20, 10, 30, 300, 10, 2.05, 2.05, 2.05, 2.05]",1.39e-48,0.93
"[25, 5, 20, 150, 10, 2.05, 2.05, 2.05, 2.05]",1.74e-28,0.58
"[25, 5, 20, 200, 10, 2.05, 2.05, 2.05, 2.05]",1.73e-38,0.8
"[25, 5, 20, 300, 10, 2.05, 2.05, 2.05, 2.05]",1.73e-51,0.99
"[25, 5, 30, 150, 10, 2.05, 2.05, 2.05, 2.05]",1.41e-31,0.66
"[25, 5, 30, 200, 10, 2.05, 2.05, 2.05, 2.05]",2.29e-40,0.71
"[25, 5, 30, 300, 10, 2.05, 2.05, 2.05, 2.05]",9.26e-53,0.99
"[25, 10, 20, 150, 10, 2.05, 2.05, 2.05, 2.05]",1.46e-31,0.7
"[25, 10, 20, 200, 10, 2.05, 2.05, 2.05, 2.05]",8.05e-39,0.84
"[25, 10, 20, 300, 10, 2.05, 2.05, 2.05, 2.05]",2.29e-57,1.11
"[25, 10, 30, 150, 10, 2.05, 2.05, 2.05, 2.05]",7.78e-30,0.68
"[25, 10, 30, 200, 10, 2.05, 2.05, 2.05, 2.05]",1.09e-35,0.85
"[25, 10, 30, 300, 10, 2.05, 2.05, 2.05, 2.05]",1.21e-56,1.22
