"combination [m, n, l1, l2, ep_max, c1, c2, c3, c4]",gBest_fitness,avg_time_per_epoch
"[15, 5, 20, 150, 10, 2.05, 2.05, 2.05, 2.05]",2.38e-06,0.6
"[15, 5, 20, 200, 10, 2.05, 2.05, 2.05, 2.05]",1.09e-08,0.76
"[15, 5, 20, 300, 10, 2.05, 2.05, 2.05, 2.05]",1.02e-07,1.19
"[15, 5, 30, 150, 10, 2.05, 2.05, 2.05, 2.05]",4.91e-10,0.46
"[15, 5, 30, 200, 10, 2.05, 2.05, 2.05, 2.05]",3.49e-10,0.57
"[15, 5, 30, 300, 10, 2.05, 2.05, 2.05, 2.05]",9.29e-07,0.84
"[15, 10, 20, 150, 10, 2.05, 2.05, 2.05, 2.05]",7.14e-11,0.63
"[15, 10, 20, 200, 10, 2.05, 2.05, 2.05, 2.05]",2.96e-11,0.75
"[15, 10, 20, 300, 10, 2.05, 2.05, 2.05, 2.05]",3.92e-10,0.94
"[15, 10, 30, 150, 10, 2.05, 2.05, 2.05, 2.05]",4.96e-11,0.71
"[15, 10, 30, 200, 10, 2.05, 2.05, 2.05, 2.05]",2.35e-12,0.66
"[15, 10, 30, 300, 10, 2.05, 2.05, 2.05, 2.05]",6.21e-12,0.97
"[20, 5, 20, 150, 10, 2.05, 2.05, 2.05, 2.05]",7.35e-07,0.67
"[20, 5, 20, 200, 10, 2.05, 2.05, 2.05, 2.05]",1.07e-09,0.81
"[20, 5, 20, 300, 10, 2.05, 2.05, 2.05, 2.05]",3.38e-09,1.29
"[20, 5, 30, 150, 10, 2.05, 2.05, 2.05, 2.05]",2.34e-09,0.81
"[20, 5, 30, 200, 10, 2.05, 2.05, 2.05, 2.05]",2.51e-14,1.07
"[20, 5, 30, 300, 10, 2.05, 2.05, 2.05, 2.05]",6.99e-07,1.24
"[20, 10, 20, 150, 10, 2.05, 2.05, 2.05, 2.05]",5.94e-11,0.76
"[20, 10, 20, 200, 10, 2.05, 2.05, 2.05, 2.05]",7.77e-14,1.01
"[20, 10, 20, 300, 10, 2.05, 2.05, 2.05, 2.05]",1.01e-11,1.28
"[20, 10, 30, 150, 10, 2.05, 2.05, 2.05, 2.05]",5.57e-14,0.76
"[20, 10, 30, 200, 10, 2.05, 2.05, 2.05, 2.05]",8.22e-13,0.87
"[20, 10, 30, 300, 10, 2.05, 2.05, 2.05, 2.05]",3.21e-10,1.24
"[25, 5, 20, 150, 10, 2.05, 2.05, 2.05, 2.05]",9.98e-08,0.72
"[25, 5, 20, 200, 10, 2.05, 2.05, 2.05, 2.05]",1.42e-08,0.89
"[25, 5, 20, 300, 10, 2.05, 2.05, 2.05, 2.05]",4.20e-08,1.31
"[25, 5, 30, 150, 10, 2.05, 2.05, 2.05, 2.05]",9.34e-08,0.77
"[25, 5, 30, 200, 10, 2.05, 2.05, 2.05, 2.05]",6.07e-09,0.9
"[25, 5, 30, 300, 10, 2.05, 2.05, 2.05, 2.05]",1.95e-06,1.55
"[25, 10, 20, 150, 10, 2.05, 2.05, 2.05, 2.05]",1.52e-12,0.92
"[25, 10, 20, 200, 10, 2.05, 2.05, 2.05, 2.05]",1.27e-11,1.54
"[25, 10, 20, 300, 10, 2.05, 2.05, 2.05, 2.05]",1.48e-11,1.72
"[25, 10, 30, 150, 10, 2.05, 2.05, 2.05, 2.05]",1.82e-12,1.08
"[25, 10, 30, 200, 10, 2.05, 2.05, 2.05, 2.05]",7.99e-14,1.08
"[25, 10, 30, 300, 10, 2.05, 2.05, 2.05, 2.05]",5.94e-11,1.2
