"combination [m, n, l1, l2, ep_max, c1, c2, c3, c4]",gBest_fitness,avg_time_per_epoch
"[15, 5, 20, 100, 10, 2.05, 2.05, 2.05, 2.05]",6.54e-130,0.57
"[15, 5, 20, 200, 10, 2.05, 2.05, 2.05, 2.05]",7.70e-203,0.81
"[15, 5, 20, 300, 10, 2.05, 2.05, 2.05, 2.05]",1.20e-259,0.88
"[15, 5, 30, 100, 10, 2.05, 2.05, 2.05, 2.05]",4.55e-132,0.54
"[15, 5, 30, 200, 10, 2.05, 2.05, 2.05, 2.05]",1.13e-185,0.69
"[15, 5, 30, 300, 10, 2.05, 2.05, 2.05, 2.05]",2.99e-235,1.2
"[15, 10, 20, 100, 10, 2.05, 2.05, 2.05, 2.05]",6.30e-132,1.01
"[15, 10, 20, 200, 10, 2.05, 2.05, 2.05, 2.05]",3.03e-182,0.8
"[15, 10, 20, 300, 10, 2.05, 2.05, 2.05, 2.05]",7.22e-249,1.71
"[15, 10, 30, 100, 10, 2.05, 2.05, 2.05, 2.05]",7.61e-122,0.94
"[15, 10, 30, 200, 10, 2.05, 2.05, 2.05, 2.05]",2.25e-191,0.9
"[15, 10, 30, 300, 10, 2.05, 2.05, 2.05, 2.05]",2.86e-265,1.27
"[20, 5, 20, 100, 10, 2.05, 2.05, 2.05, 2.05]",1.03e-139,0.49
"[20, 5, 20, 200, 10, 2.05, 2.05, 2.05, 2.05]",1.02e-194,0.68
"[20, 5, 20, 300, 10, 2.05, 2.05, 2.05, 2.05]",1.40e-244,0.92
"[20, 5, 30, 100, 10, 2.05, 2.05, 2.05, 2.05]",1.70e-144,0.67
"[20, 5, 30, 200, 10, 2.05, 2.05, 2.05, 2.05]",2.97e-202,0.84
"[20, 5, 30, 300, 10, 2.05, 2.05, 2.05, 2.05]",2.71e-250,1.03
"[20, 10, 20, 100, 10, 2.05, 2.05, 2.05, 2.05]",1.76e-132,0.74
"[20, 10, 20, 200, 10, 2.05, 2.05, 2.05, 2.05]",8.59e-188,1.15
"[20, 10, 20, 300, 10, 2.05, 2.05, 2.05, 2.05]",1.27e-241,1.18
"[20, 10, 30, 100, 10, 2.05, 2.05, 2.05, 2.05]",8.38e-135,0.98
"[20, 10, 30, 200, 10, 2.05, 2.05, 2.05, 2.05]",7.92e-181,1.17
"[20, 10, 30, 300, 10, 2.05, 2.05, 2.05, 2.05]",2.04e-249,1.46
"[25, 5, 20, 100, 10, 2.05, 2.05, 2.05, 2.05]",1.08e-124,0.64
"[25, 5, 20, 200, 10, 2.05, 2.05, 2.05, 2.05]",2.76e-200,1.02
"[25, 5, 20, 300, 10, 2.05, 2.05, 2.05, 2.05]",2.94e-260,1.14
"[25, 5, 30, 100, 10, 2.05, 2.05, 2.05, 2.05]",7.02e-138,0.76
"[25, 5, 30, 200, 10, 2.05, 2.05, 2.05, 2.05]",4.80e-186,1.03
"[25, 5, 30, 300, 10, 2.05, 2.05, 2.05, 2.05]",3.71e-259,1.34
"[25, 10, 20, 100, 10, 2.05, 2.05, 2.05, 2.05]",8.51e-141,0.94
"[25, 10, 20, 200, 10, 2.05, 2.05, 2.05, 2.05]",1.75e-197,1.43
"[25, 10, 20, 300, 10, 2.05, 2.05, 2.05, 2.05]",4.30e-259,1.47
"[25, 10, 30, 100, 10, 2.05, 2.05, 2.05, 2.05]",4.54e-131,1.19
"[25, 10, 30, 200, 10, 2.05, 2.05, 2.05, 2.05]",7.67e-201,1.56
"[25, 10, 30, 300, 10, 2.05, 2.05, 2.05, 2.05]",7.58e-273,1.86
