"combination [m, n, l1, l2, ep_max, c1, c2, c3, c4]",gBest_fitness,avg_time_per_epoch
"[15, 5, 20, 150, 10, 2.05, 2.05, 2.05, 2.05]",7.44e-21,0.71
"[15, 5, 20, 200, 10, 2.05, 2.05, 2.05, 2.05]",4.06e-26,0.84
"[15, 5, 20, 300, 10, 2.05, 2.05, 2.05, 2.05]",9.84e-33,1.03
"[15, 5, 30, 150, 10, 2.05, 2.05, 2.05, 2.05]",8.99e-29,0.54
"[15, 5, 30, 200, 10, 2.05, 2.05, 2.05, 2.05]",5.94e-24,0.69
"[15, 5, 30, 300, 10, 2.05, 2.05, 2.05, 2.05]",3.55e-31,0.93
"[15, 10, 20, 150, 10, 2.05, 2.05, 2.05, 2.05]",4.43e-17,0.68
"[15, 10, 20, 200, 10, 2.05, 2.05, 2.05, 2.05]",8.47e-24,0.81
"[15, 10, 20, 300, 10, 2.05, 2.05, 2.05, 2.05]",1.84e-39,1.12
"[15, 10, 30, 150, 10, 2.05, 2.05, 2.05, 2.05]",9.76e-19,0.65
"[15, 10, 30, 200, 10, 2.05, 2.05, 2.05, 2.05]",5.40e-30,0.87
"[15, 10, 30, 300, 10, 2.05, 2.05, 2.05, 2.05]",2.25e-43,1.04
"[20, 5, 20, 150, 10, 2.05, 2.05, 2.05, 2.05]",1.82e-25,0.78
"[20, 5, 20, 200, 10, 2.05, 2.05, 2.05, 2.05]",2.08e-25,0.86
"[20, 5, 20, 300, 10, 2.05, 2.05, 2.05, 2.05]",8.48e-40,1.23
"[20, 5, 30, 150, 10, 2.05, 2.05, 2.05, 2.05]",6.88e-24,0.75
"[20, 5, 30, 200, 10, 2.05, 2.05, 2.05, 2.05]",1.65e-35,0.86
"[20, 5, 30, 300, 10, 2.05, 2.05, 2.05, 2.05]",1.22e-30,1.35
"[20, 10, 20, 150, 10, 2.05, 2.05, 2.05, 2.05]",3.25e-22,0.86
"[20, 10, 20, 200, 10, 2.05, 2.05, 2.05, 2.05]",4.88e-34,1.06
"[20, 10, 20, 300, 10, 2.05, 2.05, 2.05, 2.05]",2.67e-53,1.4
"[20, 10, 30, 150, 10, 2.05, 2.05, 2.05, 2.05]",4.03e-22,0.9
"[20, 10, 30, 200, 10, 2.05, 2.05, 2.05, 2.05]",4.31e-26,1.03
"[20, 10, 30, 300, 10, 2.05, 2.05, 2.05, 2.05]",2.48e-41,1.54
"[25, 5, 20, 150, 10, 2.05, 2.05, 2.05, 2.05]",4.87e-24,0.87
"[25, 5, 20, 200, 10, 2.05, 2.05, 2.05, 2.05]",3.16e-30,1.09
"[25, 5, 20, 300, 10, 2.05, 2.05, 2.05, 2.05]",3.01e-32,1.58
"[25, 5, 30, 150, 10, 2.05, 2.05, 2.05, 2.05]",3.05e-21,0.95
"[25, 5, 30, 200, 10, 2.05, 2.05, 2.05, 2.05]",3.46e-32,1.31
"[25, 5, 30, 300, 10, 2.05, 2.05, 2.05, 2.05]",2.97e-40,1.51
"[25, 10, 20, 150, 10, 2.05, 2.05, 2.05, 2.05]",3.69e-24,1.12
"[25, 10, 20, 200, 10, 2.05, 2.05, 2.05, 2.05]",1.53e-27,1.3
"[25, 10, 20, 300, 10, 2.05, 2.05, 2.05, 2.05]",1.34e-47,1.74
"[25, 10, 30, 150, 10, 2.05, 2.05, 2.05, 2.05]",6.46e-23,1.16
"[25, 10, 30, 200, 10, 2.05, 2.05, 2.05, 2.05]",6.21e-40,1.29
"[25, 10, 30, 300, 10, 2.05, 2.05, 2.05, 2.05]",4.66e-43,1.78
