"combination [m, n, l1, l2, ep_max, c1, c2, c3, c4]",gBest_fitness,avg_time_per_epoch
"[15, 5, 20, 150, 10, 2.05, 2.05, 2.05, 2.05]",1.92e-06,0.78
"[15, 5, 20, 200, 10, 2.05, 2.05, 2.05, 2.05]",5.75e-09,0.97
"[15, 5, 20, 300, 10, 2.05, 2.05, 2.05, 2.05]",2.40e-06,1.12
"[15, 5, 30, 150, 10, 2.05, 2.05, 2.05, 2.05]",4.24e-05,0.66
"[15, 5, 30, 200, 10, 2.05, 2.05, 2.05, 2.05]",3.06e-04,0.79
"[15, 5, 30, 300, 10, 2.05, 2.05, 2.05, 2.05]",1.53e-06,1.13
"[15, 10, 20, 150, 10, 2.05, 2.05, 2.05, 2.05]",4.49e-06,0.82
"[15, 10, 20, 200, 10, 2.05, 2.05, 2.05, 2.05]",3.54e-08,0.97
"[15, 10, 20, 300, 10, 2.05, 2.05, 2.05, 2.05]",3.44e-09,1.34
"[15, 10, 30, 150, 10, 2.05, 2.05, 2.05, 2.05]",1.00e-08,0.77
"[15, 10, 30, 200, 10, 2.05, 2.05, 2.05, 2.05]",7.72e-08,0.99
"[15, 10, 30, 300, 10, 2.05, 2.05, 2.05, 2.05]",6.72e-09,1.26
"[20, 5, 20, 150, 10, 2.05, 2.05, 2.05, 2.05]",4.51e-06,0.88
"[20, 5, 20, 200, 10, 2.05, 2.05, 2.05, 2.05]",1.53e-06,1.1
"[20, 5, 20, 300, 10, 2.05, 2.05, 2.05, 2.05]",7.96e-10,1.64
"[20, 5, 30, 150, 10, 2.05, 2.05, 2.05, 2.05]",8.12e-14,0.84
"[20, 5, 30, 200, 10, 2.05, 2.05, 2.05, 2.05]",5.10e-10,1.07
"[20, 5, 30, 300, 10, 2.05, 2.05, 2.05, 2.05]",8.40e-08,1.52
"[20, 10, 20, 150, 10, 2.05, 2.05, 2.05, 2.05]",1.58e-07,1.03
"[20, 10, 20, 200, 10, 2.05, 2.05, 2.05, 2.05]",7.52e-09,1.28
"[20, 10, 20, 300, 10, 2.05, 2.05, 2.05, 2.05]",1.67e-09,1.78
"[20, 10, 30, 150, 10, 2.05, 2.05, 2.05, 2.05]",1.09e-10,1.02
"[20, 10, 30, 200, 10, 2.05, 2.05, 2.05, 2.05]",2.78e-08,1.28
"[20, 10, 30, 300, 10, 2.05, 2.05, 2.05, 2.05]",2.35e-08,1.78
"[25, 5, 20, 150, 10, 2.05, 2.05, 2.05, 2.05]",6.97e-09,1.25
"[25, 5, 20, 200, 10, 2.05, 2.05, 2.05, 2.05]",5.88e-08,1.33
"[25, 5, 20, 300, 10, 2.05, 2.05, 2.05, 2.05]",3.49e-06,1.9
"[25, 5, 30, 150, 10, 2.05, 2.05, 2.05, 2.05]",1.02e-05,1.07
"[25, 5, 30, 200, 10, 2.05, 2.05, 2.05, 2.05]",1.74e-05,1.33
"[25, 5, 30, 300, 10, 2.05, 2.05, 2.05, 2.05]",2.62e-06,1.96
"[25, 10, 20, 150, 10, 2.05, 2.05, 2.05, 2.05]",5.48e-07,1.31
"[25, 10, 20, 200, 10, 2.05, 2.05, 2.05, 2.05]",8.89e-09,1.56
"[25, 10, 20, 300, 10, 2.05, 2.05, 2.05, 2.05]",1.36e-10,1.78
"[25, 10, 30, 150, 10, 2.05, 2.05, 2.05, 2.05]",1.35e-07,1.2
"[25, 10, 30, 200, 10, 2.05, 2.05, 2.05, 2.05]",2.40e-08,1.3
"[25, 10, 30, 300, 10, 2.05, 2.05, 2.05, 2.05]",1.05e-08,1.72
