"combination [m, n, l1, l2, ep_max, c1, c2, c3, c4]",gBest_fitness,avg_time_per_epoch
"[15, 5, 20, 100, 10, 2.05, 2.05, 2.05, 2.05]",1.82e-19,0.44
"[15, 5, 20, 200, 10, 2.05, 2.05, 2.05, 2.05]",1.11e-40,0.61
"[15, 5, 20, 300, 10, 2.05, 2.05, 2.05, 2.05]",1.49e-55,0.91
"[15, 5, 30, 100, 10, 2.05, 2.05, 2.05, 2.05]",1.30e-27,0.65
"[15, 5, 30, 200, 10, 2.05, 2.05, 2.05, 2.05]",2.77e-40,0.92
"[15, 5, 30, 300, 10, 2.05, 2.05, 2.05, 2.05]",7.67e-73,1.28
"[15, 10, 20, 100, 10, 2.05, 2.05, 2.05, 2.05]",1.00e-19,0.77
"[15, 10, 20, 200, 10, 2.05, 2.05, 2.05, 2.05]",2.81e-45,0.98
"[15, 10, 20, 300, 10, 2.05, 2.05, 2.05, 2.05]",9.58e-58,1.32
"[15, 10, 30, 100, 10, 2.05, 2.05, 2.05, 2.05]",4.10e-23,1.01
"[15, 10, 30, 200, 10, 2.05, 2.05, 2.05, 2.05]",4.11e-46,1.38
"[15, 10, 30, 300, 10, 2.05, 2.05, 2.05, 2.05]",1.03e-60,1.36
"[20, 5, 20, 100, 10, 2.05, 2.05, 2.05, 2.05]",2.42e-26,0.65
"[20, 5, 20, 200, 10, 2.05, 2.05, 2.05, 2.05]",1.84e-47,0.87
"[20, 5, 20, 300, 10, 2.05, 2.05, 2.05, 2.05]",2.08e-64,1.24
"[20, 5, 30, 100, 10, 2.05, 2.05, 2.05, 2.05]",5.16e-23,0.76
"[20, 5, 30, 200, 10, 2.05, 2.05, 2.05, 2.05]",1.14e-46,1.05
"[20, 5, 30, 300, 10, 2.05, 2.05, 2.05, 2.05]",7.19e-62,1.32
"[20, 10, 20, 100, 10, 2.05, 2.05, 2.05, 2.05]",1.17e-23,0.91
"[20, 10, 20, 200, 10, 2.05, 2.05, 2.05, 2.05]",2.38e-43,1.18
"[20, 10, 20, 300, 10, 2.05, 2.05, 2.05, 2.05]",4.05e-66,1.47
"[20, 10, 30, 100, 10, 2.05, 2.05, 2.05, 2.05]",9.02e-25,1.24
"[20, 10, 30, 200, 10, 2.05, 2.05, 2.05, 2.05]",2.21e-46,1.44
"[20, 10, 30, 300, 10, 2.05, 2.05, 2.05, 2.05]",3.04e-62,1.68
"[25, 5, 20, 100, 10, 2.05, 2.05, 2.05, 2.05]",1.94e-24,0.7
"[25, 5, 20, 200, 10, 2.05, 2.05, 2.05, 2.05]",1.88e-44,1.15
"[25, 5, 20, 300, 10, 2.05, 2.05, 2.05, 2.05]",3.05e-64,1.16
"[25, 5, 30, 100, 10, 2.05, 2.05, 2.05, 2.05]",5.85e-25,0.7
"[25, 5, 30, 200, 10, 2.05, 2.05, 2.05, 2.05]",1.44e-47,0.93
"[25, 5, 30, 300, 10, 2.05, 2.05, 2.05, 2.05]",4.70e-66,1.2
"[25, 10, 20, 100, 10, 2.05, 2.05, 2.05, 2.05]",1.78e-23,0.84
"[25, 10, 20, 200, 10, 2.05, 2.05, 2.05, 2.05]",7.23e-45,1.16
"[25, 10, 20, 300, 10, 2.05, 2.05, 2.05, 2.05]",7.17e-65,1.35
"[25, 10, 30, 100, 10, 2.05, 2.05, 2.05, 2.05]",7.08e-24,1.14
"[25, 10, 30, 200, 10, 2.05, 2.05, 2.05, 2.05]",1.29e-45,1.4
"[25, 10, 30, 300, 10, 2.05, 2.05, 2.05, 2.05]",1.04e-66,1.61
