"combination [m, n, l1, l2, ep_max, c1, c2, c3, c4]",gBest_fitness,avg_time_per_epoch
"[15, 5, 50, 500, 20, 2.05, 2.05, 2.05, 2.05]",1.64e-04,1.55
"[15, 5, 50, 1000, 20, 2.05, 2.05, 2.05, 2.05]",9.25e-05,2.91
"[15, 5, 100, 500, 20, 2.05, 2.05, 2.05, 2.05]",3.61e-04,2.43
"[15, 5, 100, 1000, 20, 2.05, 2.05, 2.05, 2.05]",2.94e-05,3.5
"[15, 10, 50, 500, 20, 2.05, 2.05, 2.05, 2.05]",1.39e-04,2.25
"[15, 10, 50, 1000, 20, 2.05, 2.05, 2.05, 2.05]",5.48e-05,3.36
"[15, 10, 100, 500, 20, 2.05, 2.05, 2.05, 2.05]",1.57e-04,3.04
"[15, 10, 100, 1000, 20, 2.05, 2.05, 2.05, 2.05]",3.76e-05,4.16
"[20, 5, 50, 500, 20, 2.05, 2.05, 2.05, 2.05]",4.37e-05,2.03
"[20, 5, 50, 1000, 20, 2.05, 2.05, 2.05, 2.05]",4.85e-06,3.46
"[20, 5, 100, 500, 20, 2.05, 2.05, 2.05, 2.05]",1.20e-05,3.08
"[20, 5, 100, 1000, 20, 2.05, 2.05, 2.05, 2.05]",2.89e-06,4.81
"[20, 10, 50, 500, 20, 2.05, 2.05, 2.05, 2.05]",8.55e-06,2.96
"[20, 10, 50, 1000, 20, 2.05, 2.05, 2.05, 2.05]",3.69e-06,4.52
"[20, 10, 100, 500, 20, 2.05, 2.05, 2.05, 2.05]",1.30e-05,4.8
"[20, 10, 100, 1000, 20, 2.05, 2.05, 2.05, 2.05]",1.19e-06,5.51
"[25, 5, 50, 500, 20, 2.05, 2.05, 2.05, 2.05]",9.82e-07,2.64
"[25, 5, 50, 1000, 20, 2.05, 2.05, 2.05, 2.05]",2.37e-07,4.33
"[25, 5, 100, 500, 20, 2.05, 2.05, 2.05, 2.05]",7.88e-07,3.37
"[25, 5, 100, 1000, 20, 2.05, 2.05, 2.05, 2.05]",5.22e-08,5.76
"[25, 10, 50, 500, 20, 2.05, 2.05, 2.05, 2.05]",2.60e-07,4.49
"[25, 10, 50, 1000, 20, 2.05, 2.05, 2.05, 2.05]",7.15e-08,6.4
"[25, 10, 100, 500, 20, 2.05, 2.05, 2.05, 2.05]",2.37e-06,5.44
"[25, 10, 100, 1000, 20, 2.05, 2.05, 2.05, 2.05]",2.53e-07,6.98
