"combination [m, n, l1, l2, ep_max, c1, c2, c3, c4]",gBest_fitness,avg_time_per_epoch
"[15, 5, 20, 100, 10, 2.05, 2.05, 2.05, 2.05]",1.41e-14,0.36
"[15, 5, 20, 200, 10, 2.05, 2.05, 2.05, 2.05]",2.18e-30,0.49
"[15, 5, 20, 300, 10, 2.05, 2.05, 2.05, 2.05]",1.67e-48,0.61
"[15, 5, 30, 100, 10, 2.05, 2.05, 2.05, 2.05]",2.64e-15,0.44
"[15, 5, 30, 200, 10, 2.05, 2.05, 2.05, 2.05]",9.18e-30,0.59
"[15, 5, 30, 300, 10, 2.05, 2.05, 2.05, 2.05]",3.10e-41,0.86
"[15, 10, 20, 100, 10, 2.05, 2.05, 2.05, 2.05]",5.73e-18,0.83
"[15, 10, 20, 200, 10, 2.05, 2.05, 2.05, 2.05]",1.25e-30,0.81
"[15, 10, 20, 300, 10, 2.05, 2.05, 2.05, 2.05]",2.11e-47,0.85
"[15, 10, 30, 100, 10, 2.05, 2.05, 2.05, 2.05]",2.09e-18,0.96
"[15, 10, 30, 200, 10, 2.05, 2.05, 2.05, 2.05]",3.71e-32,1.18
"[15, 10, 30, 300, 10, 2.05, 2.05, 2.05, 2.05]",2.37e-43,1.17
"[20, 5, 20, 100, 10, 2.05, 2.05, 2.05, 2.05]",4.98e-18,0.45
"[20, 5, 20, 200, 10, 2.05, 2.05, 2.05, 2.05]",1.03e-33,0.71
"[20, 5, 20, 300, 10, 2.05, 2.05, 2.05, 2.05]",4.44e-49,0.94
"[20, 5, 30, 100, 10, 2.05, 2.05, 2.05, 2.05]",2.72e-18,0.58
"[20, 5, 30, 200, 10, 2.05, 2.05, 2.05, 2.05]",8.27e-36,0.89
"[20, 5, 30, 300, 10, 2.05, 2.05, 2.05, 2.05]",4.48e-50,0.97
"[20, 10, 20, 100, 10, 2.05, 2.05, 2.05, 2.05]",9.20e-20,0.7
"[20, 10, 20, 200, 10, 2.05, 2.05, 2.05, 2.05]",3.70e-34,0.88
"[20, 10, 20, 300, 10, 2.05, 2.05, 2.05, 2.05]",4.47e-52,1.11
"[20, 10, 30, 100, 10, 2.05, 2.05, 2.05, 2.05]",4.93e-19,1.14
"[20, 10, 30, 200, 10, 2.05, 2.05, 2.05, 2.05]",5.72e-33,1.45
"[20, 10, 30, 300, 10, 2.05, 2.05, 2.05, 2.05]",6.87e-49,1.81
"[25, 5, 20, 100, 10, 2.05, 2.05, 2.05, 2.05]",1.53e-18,0.71
"[25, 5, 20, 200, 10, 2.05, 2.05, 2.05, 2.05]",1.51e-35,0.92
"[25, 5, 20, 300, 10, 2.05, 2.05, 2.05, 2.05]",7.32e-55,1.3
"[25, 5, 30, 100, 10, 2.05, 2.05, 2.05, 2.05]",9.41e-21,1.11
"[25, 5, 30, 200, 10, 2.05, 2.05, 2.05, 2.05]",1.39e-36,1.41
"[25, 5, 30, 300, 10, 2.05, 2.05, 2.05, 2.05]",4.92e-54,1.97
"[25, 10, 20, 100, 10, 2.05, 2.05, 2.05, 2.05]",4.58e-22,1.11
"[25, 10, 20, 200, 10, 2.05, 2.05, 2.05, 2.05]",4.81e-37,1.44
"[25, 10, 20, 300, 10, 2.05, 2.05, 2.05, 2.05]",8.01e-51,1.46
"[25, 10, 30, 100, 10, 2.05, 2.05, 2.05, 2.05]",1.03e-19,1.56
"[25, 10, 30, 200, 10, 2.05, 2.05, 2.05, 2.05]",4.66e-36,1.75
"[25, 10, 30, 300, 10, 2.05, 2.05, 2.05, 2.05]",2.78e-51,2.02
