"combination [m, n, l1, l2, ep_max, c1, c2, c3, c4]",gBest_fitness,avg_time_per_epoch
"[15, 5, 20, 150, 10, 2.05, 2.05, 2.05, 2.05]",8.50e-24,0.41
"[15, 5, 20, 200, 10, 2.05, 2.05, 2.05, 2.05]",6.22e-24,0.55
"[15, 5, 20, 400, 10, 2.05, 2.05, 2.05, 2.05]",3.68e-50,1.0
"[15, 5, 50, 150, 10, 2.05, 2.05, 2.05, 2.05]",3.98e-23,1.04
"[15, 5, 50, 200, 10, 2.05, 2.05, 2.05, 2.05]",1.34e-24,0.87
"[15, 5, 50, 400, 10, 2.05, 2.05, 2.05, 2.05]",1.11e-47,1.22
"[15, 10, 20, 150, 10, 2.05, 2.05, 2.05, 2.05]",9.46e-19,0.71
"[15, 10, 20, 200, 10, 2.05, 2.05, 2.05, 2.05]",1.47e-25,0.71
"[15, 10, 20, 400, 10, 2.05, 2.05, 2.05, 2.05]",7.81e-53,0.99
"[15, 10, 50, 150, 10, 2.05, 2.05, 2.05, 2.05]",1.76e-20,1.54
"[15, 10, 50, 200, 10, 2.05, 2.05, 2.05, 2.05]",8.70e-30,1.32
"[15, 10, 50, 400, 10, 2.05, 2.05, 2.05, 2.05]",1.54e-52,1.79
"[20, 5, 20, 150, 10, 2.05, 2.05, 2.05, 2.05]",4.99e-25,0.67
"[20, 5, 20, 200, 10, 2.05, 2.05, 2.05, 2.05]",5.75e-30,0.69
"[20, 5, 20, 400, 10, 2.05, 2.05, 2.05, 2.05]",4.64e-57,1.41
"[20, 5, 50, 150, 10, 2.05, 2.05, 2.05, 2.05]",6.90e-21,1.12
"[20, 5, 50, 200, 10, 2.05, 2.05, 2.05, 2.05]",7.56e-28,1.23
"[20, 5, 50, 400, 10, 2.05, 2.05, 2.05, 2.05]",1.81e-56,1.67
"[20, 10, 20, 150, 10, 2.05, 2.05, 2.05, 2.05]",1.11e-22,0.89
"[20, 10, 20, 200, 10, 2.05, 2.05, 2.05, 2.05]",1.26e-31,0.97
"[20, 10, 20, 400, 10, 2.05, 2.05, 2.05, 2.05]",3.53e-56,1.49
"[20, 10, 50, 150, 10, 2.05, 2.05, 2.05, 2.05]",1.35e-23,1.84
"[20, 10, 50, 200, 10, 2.05, 2.05, 2.05, 2.05]",8.63e-30,2.1
"[20, 10, 50, 400, 10, 2.05, 2.05, 2.05, 2.05]",4.59e-56,2.7
"[25, 5, 20, 150, 10, 2.05, 2.05, 2.05, 2.05]",3.04e-25,0.79
"[25, 5, 20, 200, 10, 2.05, 2.05, 2.05, 2.05]",1.04e-32,0.84
"[25, 5, 20, 400, 10, 2.05, 2.05, 2.05, 2.05]",1.60e-65,1.45
"[25, 5, 50, 150, 10, 2.05, 2.05, 2.05, 2.05]",1.33e-27,1.22
"[25, 5, 50, 200, 10, 2.05, 2.05, 2.05, 2.05]",7.50e-33,1.41
"[25, 5, 50, 400, 10, 2.05, 2.05, 2.05, 2.05]",5.09e-64,1.72
"[25, 10, 20, 150, 10, 2.05, 2.05, 2.05, 2.05]",1.67e-24,1.08
"[25, 10, 20, 200, 10, 2.05, 2.05, 2.05, 2.05]",1.41e-33,1.82
"[25, 10, 20, 400, 10, 2.05, 2.05, 2.05, 2.05]",4.73e-71,2.06
"[25, 10, 50, 150, 10, 2.05, 2.05, 2.05, 2.05]",1.43e-23,2.36
"[25, 10, 50, 200, 10, 2.05, 2.05, 2.05, 2.05]",3.37e-33,2.95
"[25, 10, 50, 400, 10, 2.05, 2.05, 2.05, 2.05]",1.75e-67,3.21
