"combination [m, n, l1, l2, ep_max, c1, c2, c3, c4]",gBest_fitness,avg_time_per_epoch
"[15, 5, 20, 150, 10, 2.05, 2.05, 2.05, 2.05]",2.47e-06,0.45
"[15, 5, 20, 200, 10, 2.05, 2.05, 2.05, 2.05]",6.21e-09,0.5
"[15, 5, 20, 400, 10, 2.05, 2.05, 2.05, 2.05]",5.59e-06,0.9
"[15, 5, 50, 150, 10, 2.05, 2.05, 2.05, 2.05]",9.38e-06,0.39
"[15, 5, 50, 200, 10, 2.05, 2.05, 2.05, 2.05]",9.09e-08,0.54
"[15, 5, 50, 400, 10, 2.05, 2.05, 2.05, 2.05]",4.79e-07,1.04
"[15, 10, 20, 150, 10, 2.05, 2.05, 2.05, 2.05]",6.77e-11,0.46
"[15, 10, 20, 200, 10, 2.05, 2.05, 2.05, 2.05]",4.08e-11,0.65
"[15, 10, 20, 400, 10, 2.05, 2.05, 2.05, 2.05]",2.74e-10,1.08
"[15, 10, 50, 150, 10, 2.05, 2.05, 2.05, 2.05]",2.67e-10,0.5
"[15, 10, 50, 200, 10, 2.05, 2.05, 2.05, 2.05]",1.70e-13,0.56
"[15, 10, 50, 400, 10, 2.05, 2.05, 2.05, 2.05]",1.37e-10,1.17
"[20, 5, 20, 150, 10, 2.05, 2.05, 2.05, 2.05]",6.86e-08,0.54
"[20, 5, 20, 200, 10, 2.05, 2.05, 2.05, 2.05]",7.51e-07,0.77
"[20, 5, 20, 400, 10, 2.05, 2.05, 2.05, 2.05]",3.82e-10,1.46
"[20, 5, 50, 150, 10, 2.05, 2.05, 2.05, 2.05]",1.87e-08,0.52
"[20, 5, 50, 200, 10, 2.05, 2.05, 2.05, 2.05]",2.80e-08,0.77
"[20, 5, 50, 400, 10, 2.05, 2.05, 2.05, 2.05]",6.37e-07,1.29
"[20, 10, 20, 150, 10, 2.05, 2.05, 2.05, 2.05]",2.69e-14,0.79
"[20, 10, 20, 200, 10, 2.05, 2.05, 2.05, 2.05]",1.80e-12,0.82
"[20, 10, 20, 400, 10, 2.05, 2.05, 2.05, 2.05]",1.24e-14,1.57
"[20, 10, 50, 150, 10, 2.05, 2.05, 2.05, 2.05]",2.11e-13,0.63
"[20, 10, 50, 200, 10, 2.05, 2.05, 2.05, 2.05]",6.39e-13,0.97
"[20, 10, 50, 400, 10, 2.05, 2.05, 2.05, 2.05]",4.11e-11,1.48
"[25, 5, 20, 150, 10, 2.05, 2.05, 2.05, 2.05]",1.10e-07,0.68
"[25, 5, 20, 200, 10, 2.05, 2.05, 2.05, 2.05]",3.18e-08,1.16
"[25, 5, 20, 400, 10, 2.05, 2.05, 2.05, 2.05]",8.75e-07,2.25
"[25, 5, 50, 150, 10, 2.05, 2.05, 2.05, 2.05]",3.38e-09,0.81
"[25, 5, 50, 200, 10, 2.05, 2.05, 2.05, 2.05]",2.27e-06,0.95
"[25, 5, 50, 400, 10, 2.05, 2.05, 2.05, 2.05]",1.36e-05,1.77
"[25, 10, 20, 150, 10, 2.05, 2.05, 2.05, 2.05]",1.72e-11,0.82
"[25, 10, 20, 200, 10, 2.05, 2.05, 2.05, 2.05]",8.61e-14,1.36
"[25, 10, 20, 400, 10, 2.05, 2.05, 2.05, 2.05]",3.67e-13,1.89
"[25, 10, 50, 150, 10, 2.05, 2.05, 2.05, 2.05]",3.52e-14,0.87
"[25, 10, 50, 200, 10, 2.05, 2.05, 2.05, 2.05]",1.90e-12,1.07
"[25, 10, 50, 400, 10, 2.05, 2.05, 2.05, 2.05]",2.38e-15,2.13
