"combination [m, n, l1, l2, ep_max, c1, c2, c3, c4]",gBest_fitness,avg_time_per_epoch
"[15, 5, 20, 150, 10, 2.05, 2.05, 2.05, 2.05]",7.59e-23,0.28
"[15, 5, 20, 200, 10, 2.05, 2.05, 2.05, 2.05]",2.17e-34,0.35
"[15, 5, 20, 300, 10, 2.05, 2.05, 2.05, 2.05]",7.54e-48,0.62
"[15, 5, 30, 150, 10, 2.05, 2.05, 2.05, 2.05]",1.51e-23,0.28
"[15, 5, 30, 200, 10, 2.05, 2.05, 2.05, 2.05]",5.38e-29,0.44
"[15, 5, 30, 300, 10, 2.05, 2.05, 2.05, 2.05]",3.12e-41,0.52
"[15, 10, 20, 150, 10, 2.05, 2.05, 2.05, 2.05]",7.95e-29,0.35
"[15, 10, 20, 200, 10, 2.05, 2.05, 2.05, 2.05]",1.47e-31,0.41
"[15, 10, 20, 300, 10, 2.05, 2.05, 2.05, 2.05]",2.02e-46,0.56
"[15, 10, 30, 150, 10, 2.05, 2.05, 2.05, 2.05]",5.92e-28,0.47
"[15, 10, 30, 200, 10, 2.05, 2.05, 2.05, 2.05]",3.51e-37,0.41
"[15, 10, 30, 300, 10, 2.05, 2.05, 2.05, 2.05]",4.90e-45,0.53
"[20, 5, 20, 150, 10, 2.05, 2.05, 2.05, 2.05]",9.71e-31,0.36
"[20, 5, 20, 200, 10, 2.05, 2.05, 2.05, 2.05]",3.36e-34,0.45
"[20, 5, 20, 300, 10, 2.05, 2.05, 2.05, 2.05]",6.56e-45,0.61
"[20, 5, 30, 150, 10, 2.05, 2.05, 2.05, 2.05]",7.17e-26,0.36
"[20, 5, 30, 200, 10, 2.05, 2.05, 2.05, 2.05]",3.28e-35,0.45
"[20, 5, 30, 300, 10, 2.05, 2.05, 2.05, 2.05]",3.49e-48,0.61
"[20, 10, 20, 150, 10, 2.05, 2.05, 2.05, 2.05]",2.43e-27,0.44
"[20, 10, 20, 200, 10, 2.05, 2.05, 2.05, 2.05]",2.11e-39,0.53
"[20, 10, 20, 300, 10, 2.05, 2.05, 2.05, 2.05]",3.55e-45,0.73
"[20, 10, 30, 150, 10, 2.05, 2.05, 2.05, 2.05]",5.99e-30,0.45
"[20, 10, 30, 200, 10, 2.05, 2.05, 2.05, 2.05]",9.98e-37,0.69
"[20, 10, 30, 300, 10, 2.05, 2.05, 2.05, 2.05]",6.07e-56,0.7
"[25, 5, 20, 150, 10, 2.05, 2.05, 2.05, 2.05]",1.86e-29,0.44
"[25, 5, 20, 200, 10, 2.05, 2.05, 2.05, 2.05]",6.12e-35,0.55
"[25, 5, 20, 300, 10, 2.05, 2.05, 2.05, 2.05]",2.26e-53,0.77
"[25, 5, 30, 150, 10, 2.05, 2.05, 2.05, 2.05]",6.76e-27,0.46
"[25, 5, 30, 200, 10, 2.05, 2.05, 2.05, 2.05]",1.07e-44,0.55
"[25, 5, 30, 300, 10, 2.05, 2.05, 2.05, 2.05]",3.62e-56,1.05
"[25, 10, 20, 150, 10, 2.05, 2.05, 2.05, 2.05]",1.47e-34,0.74
"[25, 10, 20, 200, 10, 2.05, 2.05, 2.05, 2.05]",1.13e-37,0.87
"[25, 10, 20, 300, 10, 2.05, 2.05, 2.05, 2.05]",1.87e-51,1.14
"[25, 10, 30, 150, 10, 2.05, 2.05, 2.05, 2.05]",3.96e-35,0.66
"[25, 10, 30, 200, 10, 2.05, 2.05, 2.05, 2.05]",3.53e-42,0.79
"[25, 10, 30, 300, 10, 2.05, 2.05, 2.05, 2.05]",4.83e-53,1.09
