"combination = [fitness_function_name, dimension, range0, range1, m, n, l1, l2, max_ep, c1, c2, function evaluation]",gBest_fitness,total_time
"['f11', 20, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,10.728670965999981
"['f11', 20, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,10.67244964300005
"['f11', 20, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,10.528876706999995
"['f11', 20, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,10.601535356999989
"['f11', 20, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,10.920774443000028
"['f11', 20, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,10.966327575999912
"['f11', 20, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,10.53030382899999
"['f11', 20, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,11.386150526000051
"['f11', 20, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,11.469593067999995
"['f11', 20, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,10.795946303000164
"['f11', 20, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,10.931601254999805
"['f11', 20, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,10.921798480999996
"['f11', 20, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,11.599176570000054
"['f11', 20, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",131042193107.69849,11.226726694000035
"['f11', 20, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,11.085359520999873
"['f11', 20, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,10.658612299999959
"['f11', 20, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,10.102132284999925
"['f11', 20, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,10.169425815000068
"['f11', 20, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,10.406957393999846
"['f11', 20, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,10.256086961999927
"['f11', 30, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,21.224221882999927
"['f11', 30, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,22.170173665999982
"['f11', 30, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,20.13028096899984
"['f11', 30, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,20.861335914999927
"['f11', 30, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,22.161432719999993
"['f11', 30, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,19.395098147
"['f11', 30, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,19.145473121999885
"['f11', 30, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,19.825084967000066
"['f11', 30, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,19.372280059000104
"['f11', 30, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,19.849773382000194
"['f11', 30, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",117793017141.77443,20.575440813999876
"['f11', 30, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,19.084021974000052
"['f11', 30, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,18.060067413999832
"['f11', 30, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,19.042066736999914
"['f11', 30, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,17.771321801999875
"['f11', 30, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",7.090393758392295e-152,20.29175614299993
"['f11', 30, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,17.877018858999918
"['f11', 30, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,18.322592518999954
"['f11', 30, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,18.752549948000024
"['f11', 30, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,17.945028516999855
"['f11', 50, -100, 100, 25, 8, 10, 400, 5, 2.05, 2.05, 60000]",0.0,24.585676063000392
"['f11', 50, -100, 100, 25, 8, 10, 400, 5, 2.05, 2.05, 60000]",0.0,24.307449817999895
"['f11', 50, -100, 100, 25, 8, 10, 400, 5, 2.05, 2.05, 60000]",0.0,24.57672797699979
"['f11', 50, -100, 100, 25, 8, 10, 400, 5, 2.05, 2.05, 60000]",8567.896962981056,28.271542704999774
"['f11', 50, -100, 100, 25, 8, 10, 400, 5, 2.05, 2.05, 60000]",0.0,25.324531893000312
"['f11', 50, -100, 100, 25, 8, 10, 400, 5, 2.05, 2.05, 60000]",0.0,25.621033601999898
"['f11', 50, -100, 100, 25, 8, 10, 400, 5, 2.05, 2.05, 60000]",0.0,24.626284420999582
"['f11', 50, -100, 100, 25, 8, 10, 400, 5, 2.05, 2.05, 60000]",0.0,24.848640175999662
"['f11', 50, -100, 100, 25, 8, 10, 400, 5, 2.05, 2.05, 60000]",0.0,25.551019257000007
"['f11', 50, -100, 100, 25, 8, 10, 400, 5, 2.05, 2.05, 60000]",0.0,24.58212808600001
"['f11', 50, -100, 100, 25, 8, 10, 400, 5, 2.05, 2.05, 60000]",0.0,24.606598163999934
"['f11', 50, -100, 100, 25, 8, 10, 400, 5, 2.05, 2.05, 60000]",0.0,25.31897922799999
"['f11', 50, -100, 100, 25, 8, 10, 400, 5, 2.05, 2.05, 60000]",0.0,23.82520999799999
"['f11', 50, -100, 100, 25, 8, 10, 400, 5, 2.05, 2.05, 60000]",0.0,24.65810284700001
"['f11', 50, -100, 100, 25, 8, 10, 400, 5, 2.05, 2.05, 60000]",0.0,24.489937600999838
"['f11', 50, -100, 100, 25, 8, 10, 400, 5, 2.05, 2.05, 60000]",0.0,24.17495515399969
"['f11', 50, -100, 100, 25, 8, 10, 400, 5, 2.05, 2.05, 60000]",0.0,24.53621479100002
"['f11', 50, -100, 100, 25, 8, 10, 400, 5, 2.05, 2.05, 60000]",0.0,25.138452279000376
"['f11', 50, -100, 100, 25, 8, 10, 400, 5, 2.05, 2.05, 60000]",0.0,23.936686454999744
"['f11', 50, -100, 100, 25, 8, 10, 400, 5, 2.05, 2.05, 60000]",0.0,24.751201670000228
"['f11', 100, -100, 100, 25, 10, 20, 600, 5, 2.05, 2.05, 100000]",0.0,33.960580000000846
"['f11', 100, -100, 100, 25, 10, 20, 600, 5, 2.05, 2.05, 100000]",0.0,34.077282000000196
"['f11', 100, -100, 100, 25, 10, 20, 600, 5, 2.05, 2.05, 100000]",0.0,33.990247000001546
