"combination = [fitness_function_name, dimension, range0, range1, population_size, max_ep, function evaluation]",gBest_fitness,total_time
"['f11', 20, -100, 100, 100, 400, 40000]",8.631204572496722e-28,10.002200164999977
"['f11', 20, -100, 100, 100, 400, 40000]",2.2545162737442586e-24,9.92988441700004
"['f11', 20, -100, 100, 100, 400, 40000]",2.077316292266278e-29,9.74567886200009
"['f11', 20, -100, 100, 100, 400, 40000]",1.9927668331279807e-30,9.488935955999978
"['f11', 20, -100, 100, 100, 400, 40000]",5.027493962835378e-31,9.452071519000015
"['f11', 20, -100, 100, 100, 400, 40000]",4.509701370303824e-26,9.96281832000011
"['f11', 20, -100, 100, 100, 400, 40000]",2.696493933690594e-25,9.486229137999999
"['f11', 20, -100, 100, 100, 400, 40000]",5.988281125540897e-29,9.548626412999965
"['f11', 20, -100, 100, 100, 400, 40000]",4.00022044615741e-40,9.668505580999977
"['f11', 20, -100, 100, 100, 400, 40000]",3.6393321228318153e-26,9.503727357999992
"['f11', 20, -100, 100, 100, 400, 40000]",8.764880894413604e-30,9.43896336499995
"['f11', 20, -100, 100, 100, 400, 40000]",1.539085154861206e-32,10.268041847999939
"['f11', 20, -100, 100, 100, 400, 40000]",4.0473927674730693e-42,10.203979519000086
"['f11', 20, -100, 100, 100, 400, 40000]",3.795191779887458e-32,9.809611961999963
"['f11', 20, -100, 100, 100, 400, 40000]",7.022295493904766e-30,9.410651395000059
"['f11', 20, -100, 100, 100, 400, 40000]",7.239986928319787e-24,10.789617793000048
"['f11', 20, -100, 100, 100, 400, 40000]",8.182069745187927e-31,10.67907953300005
"['f11', 20, -100, 100, 100, 400, 40000]",7.663935897823333e-24,10.35527636200004
"['f11', 20, -100, 100, 100, 400, 40000]",5.025456744687381e-36,9.495268663999923
"['f11', 20, -100, 100, 100, 400, 40000]",7.284631614255241e-26,9.62929215400004
"['f11', 30, -100, 100, 100, 400, 40000]",7.743133628241894e-37,11.981685346999939
"['f11', 30, -100, 100, 100, 400, 40000]",2.2253279465305433e-33,12.141352244000018
"['f11', 30, -100, 100, 100, 400, 40000]",7.109449506429703e-24,12.472162727000068
"['f11', 30, -100, 100, 100, 400, 40000]",1.731311991032961e-27,13.14278403000003
"['f11', 30, -100, 100, 100, 400, 40000]",4.489361550340528e-35,13.253137078999998
"['f11', 30, -100, 100, 100, 400, 40000]",4.839304871375882e-29,12.550386637999964
"['f11', 30, -100, 100, 100, 400, 40000]",3.2486839255798314e-32,11.884219783999924
"['f11', 30, -100, 100, 100, 400, 40000]",0.004537505874398674,18.63496471899998
"['f11', 30, -100, 100, 100, 400, 40000]",3.819679837619757e-31,15.688039281999863
"['f11', 30, -100, 100, 100, 400, 40000]",1.257710730561227e-34,19.301431554000146
"['f11', 30, -100, 100, 100, 400, 40000]",1.3233219458758018e-29,18.752459440999928
"['f11', 30, -100, 100, 100, 400, 40000]",9.015953554451862e-23,18.25856564699984
"['f11', 30, -100, 100, 100, 400, 40000]",2.655312361238441e-10,21.41839582900002
"['f11', 30, -100, 100, 100, 400, 40000]",4.591561780553205e-28,19.187446087000126
"['f11', 30, -100, 100, 100, 400, 40000]",1.3517900348871624e-30,18.431474125000022
"['f11', 30, -100, 100, 100, 400, 40000]",2.2168251097479465e-27,19.45242375199996
"['f11', 30, -100, 100, 100, 400, 40000]",1.9865602819669893e-18,19.389949964999914
"['f11', 30, -100, 100, 100, 400, 40000]",8.746482205917756e-41,19.584823241999857
"['f11', 30, -100, 100, 100, 400, 40000]",7.451487318838883e-32,19.252370565999854
"['f11', 30, -100, 100, 100, 400, 40000]",9.008418995128538e-28,18.533724441999993
"['f11', 50, -100, 100, 150, 400, 60000]",3.2270217489540295e-33,23.06536815199979
"['f11', 50, -100, 100, 150, 400, 60000]",5.439846279757172e-32,23.09694211499982
"['f11', 50, -100, 100, 150, 400, 60000]",6.549601421632906e-25,22.795953300999827
"['f11', 50, -100, 100, 150, 400, 60000]",4.646035120588875e-29,22.616254446999847
"['f11', 50, -100, 100, 150, 400, 60000]",1.4649720161831134e-35,22.981533723999746
"['f11', 50, -100, 100, 150, 400, 60000]",9.65212173278329e-23,22.120889676999923
"['f11', 50, -100, 100, 150, 400, 60000]",1.174675242183947e-33,22.96747337800025
"['f11', 50, -100, 100, 150, 400, 60000]",5.846995783150381e-34,22.46054094400006
"['f11', 50, -100, 100, 150, 400, 60000]",2.142528329935379e-53,22.16094472800023
"['f11', 50, -100, 100, 150, 400, 60000]",1.9586605007390383e-24,24.815133836000314
"['f11', 50, -100, 100, 150, 400, 60000]",5.587912974816765e-32,23.259242585000266
"['f11', 50, -100, 100, 150, 400, 60000]",1.1323546926453334e-31,22.843728059000114
"['f11', 50, -100, 100, 150, 400, 60000]",5.69478429512398e-29,24.81275079099987
"['f11', 50, -100, 100, 150, 400, 60000]",3.463545467044188e-33,22.882274811000116
"['f11', 50, -100, 100, 150, 400, 60000]",8.356380810984302e-27,23.86827464800035
"['f11', 50, -100, 100, 150, 400, 60000]",1.6773167669757083e-26,24.815525724000054
"['f11', 50, -100, 100, 150, 400, 60000]",6.373730373177643e-30,23.29007942699991
