"combination = [fitness_function_name, dimension, range0, range1, m, n, l1, l2, max_ep, c1, c2, function evaluation]",gBest_fitness,total_time
"['f21', 20, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",1.1834260791748676e-169,28.255079252
"['f21', 20, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",3.354222247111566e-176,28.653955843000006
"['f21', 20, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",6.160982311634801e-168,33.13423622799999
"['f21', 20, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",1.5201958946078135e-170,33.89282170400001
"['f21', 20, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",1.6569152700883344e-173,32.32932271199999
"['f21', 20, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",1.2558976000480519e-176,31.092179287999983
"['f21', 20, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",1.108533368646672e-180,29.632712300999998
"['f21', 20, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",2.484869072073701e-169,30.258528323999997
"['f21', 20, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",4.6439521544193745e-170,29.890877664000016
"['f21', 20, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",9.072865632664297e-167,30.164316354999983
"['f21', 20, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",1.761555727014028e-162,29.577623718999973
"['f21', 20, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",1.6907060710679876e-172,29.390969337
"['f21', 20, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",2.1124459728646163e-156,31.211799998000004
"['f21', 20, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",8.792970858201979e-161,30.96100444399997
"['f21', 20, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",2.0575061955203594e-157,29.617139924000014
"['f21', 20, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",2.0303600682052416e-164,28.42178191900001
"['f21', 20, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",3.7743625492167515e-170,25.841004444000077
"['f21', 20, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",2.8427856437701257e-174,17.595436382000003
"['f21', 20, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",3.851994761892393e-168,16.29097470199997
"['f21', 20, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",1.5938298562031268e-165,15.508118358999923
"['f21', 30, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",1.2332130422971236e-168,29.415396027000043
"['f21', 30, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",1.1940867523994767e-166,28.59044728799995
"['f21', 30, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",2.8646850800064277e-164,29.1985439529999
"['f21', 30, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",2.0903324859144208e-163,28.21876298999996
"['f21', 30, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",9.971779443722866e-177,29.132683142999895
"['f21', 30, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",5.603898621506413e-163,35.80696065899997
"['f21', 30, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",4.623944768728974e-163,30.098020270999996
"['f21', 30, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",7.175604722675524e-160,28.7355742430002
"['f21', 30, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",2.305535314037021e-167,29.306372596000074
"['f21', 30, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",8.951843879300795e-186,28.81763398200019
"['f21', 30, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",1.6893158862726642e-165,28.807326887999807
"['f21', 30, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",1.9997727153277392e-172,29.057999276999908
"['f21', 30, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",3.2768494452695897e-159,29.179500111000152
"['f21', 30, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",2.4496549845948888e-170,28.63521198100011
"['f21', 30, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",2.4904014621659047e-157,33.50306208400002
"['f21', 30, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",5.640548506752331e-168,29.729965125999797
"['f21', 30, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",1.5817099743978649e-159,28.699557028000072
"['f21', 30, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",2.6095378282420287e-163,25.93595726600006
"['f21', 30, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",8.863082181398888e-173,23.431320169999935
"['f21', 30, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",8.209191323179863e-168,23.11827943000003
"['f21', 50, -10, 10, 25, 8, 10, 400, 5, 2.05, 2.05, 60000]",1.0771020391704031e-203,72.26351182100007
"['f21', 50, -10, 10, 25, 8, 10, 400, 5, 2.05, 2.05, 60000]",1.3185572358469047e-220,69.70211922299995
"['f21', 50, -10, 10, 25, 8, 10, 400, 5, 2.05, 2.05, 60000]",3.0011121383711983e-195,70.16392026899985
"['f21', 50, -10, 10, 25, 8, 10, 400, 5, 2.05, 2.05, 60000]",1.050239804345949e-209,71.09783132499979
"['f21', 50, -10, 10, 25, 8, 10, 400, 5, 2.05, 2.05, 60000]",9.244165959286489e-232,68.1755196590002
"['f21', 50, -10, 10, 25, 8, 10, 400, 5, 2.05, 2.05, 60000]",1.2320817372217636e-199,67.01537503300005
